Nr	Amino_FZ	Propofol	Ethanol	Series	Larval_stage	Length	Rep
48	with	with	with	6	L3	17.7	8
1	without	without	without	7	L3	18.6	1
2	without	without	without	7	L3	11.1	1
3	without	without	without	7	L3	18.3	1
4	without	without	without	7	L3	18.1	1
5	without	without	without	7	L3	18.0	1
6	without	without	without	7	L3	12.1	1
7	with	without	without	7	L3	18.1	2
8	with	without	without	7	L3	18.7	2
9	with	without	without	7	L3	18.9	2
10	with	without	without	7	L3	18.6	2
11	with	without	without	7	L3	17.5	2
12	with	without	without	7	L3	18.1	2
13	without	with	without	7	L3	18.8	3
14	without	with	without	7	L3	12.8	3
15	without	with	without	7	L3	18.3	3
16	without	with	without	7	L3	17.8	3
17	without	with	without	7	L3	18.3	3
18	without	with	without	7	L3	18.2	3
19	without	without	with	7	L3	19.5	4
20	without	without	with	7	L3	19.1	4
21	without	without	with	7	L3	18.7	4
22	without	without	with	7	L3	18.2	4
23	without	without	with	7	L3	18.2	4
24	without	without	with	7	L3	17.3	4
25	with	with	without	7	L3	13.0	5
26	with	with	without	7	L3	17.6	5
27	with	with	without	7	L3	17.8	5
28	with	with	without	7	L3	18.3	5
29	with	with	without	7	L3	19.1	5
30	with	with	without	7	L3	19.3	5
31	with	without	with	7	L3	19.1	6
32	with	without	with	7	L3	18.8	6
33	with	without	with	7	L3	13.1	6
34	with	without	with	7	L3	18.6	6
35	with	without	with	7	L3	18.1	6
36	with	without	with	7	L3	18.1	6
37	without	with	with	7	L3	17.5	7
38	without	with	with	7	L3	19.0	7
39	without	with	with	7	L3	19.0	7
40	without	with	with	7	L3	18.9	7
41	without	with	with	7	L3	18.1	7
42	without	with	with	7	L3	19.5	7
43	with	with	with	7	L3	17.9	8
44	with	with	with	7	L3	19.3	8
45	with	with	with	7	L3	15.0	8
46	with	with	with	7	L3	18.0	8
47	with	with	with	7	L3	18.3	8
48	with	with	with	7	L3	18.9	8
1	without	without	without	8	L3_PF	17.5	1
2	without	without	without	8	L3	18.7	1
3	without	without	without	8	L3	16.9	1
4	without	without	without	8	L3	13.4	1
5	without	without	without	8	L3	18.3	1
6	without	without	without	8	L3	16.9	1
7	with	without	without	8	L3_PF	18.7	2
8	with	without	without	8	L3	18.8	2
9	with	without	without	8	L3	18.1	2
10	with	without	without	8	L3	18.2	2
11	with	without	without	8	L3	18.6	2
12	with	without	without	8	L3	18.9	2
13	without	with	without	8	L3	16.4	3
14	without	with	without	8	L3	17.8	3
15	without	with	without	8	L3_PF	17.7	3
16	without	with	without	8	L3	18.4	3
17	without	with	without	8	L3	15.9	3
18	without	with	without	8	L3	19.2	3
19	without	without	with	8	L3	18.9	4
20	without	without	with	8	L3	18.2	4
21	without	without	with	8	L3	11.5	4
22	without	without	with	8	L3_PF	18.3	4
23	without	without	with	8	L3	17.6	4
24	without	without	with	8	L3	17.8	4
25	with	with	without	8	L3	14.0	5
26	with	with	without	8	L3	14.9	5
27	with	with	without	8	L3	19.3	5
28	with	with	without	8	L3_PF	19.3	5
29	with	with	without	8	L3	16.2	5
30	with	with	without	8	L3	19.6	5
31	with	without	with	8	L3	18.1	6
32	with	without	with	8	L3_PF	19.3	6
33	with	without	with	8	L3	19.3	6
34	with	without	with	8	L3	17.3	6
35	with	without	with	8	L3	11.2	6
36	with	without	with	8	L3	18.8	6
37	without	with	with	8	L3_PF	18.4	7
38	without	with	with	8	L3	18.9	7
39	without	with	with	8	L3	18.4	7
40	without	with	with	8	L3	19.7	7
41	without	with	with	8	L3	18.5	7
42	without	with	with	8	L3	18.8	7
43	with	with	with	8	L3	19.2	8
44	with	with	with	8	L3	17.8	8
45	with	with	with	8	L3	12.8	8
46	with	with	with	8	L3_PF	16.1	8
47	with	with	with	8	L3	11.9	8
48	with	with	with	8	L3	17.9	8
1	without	without	without	9	L3_PF	16.8	1
2	without	without	without	9	L3	17.3	1
3	without	without	without	9	L3	18.4	1
4	without	without	without	9	L3	18.2	1
5	without	without	without	9	L3	18.6	1
