Source	Target	@mention	retweet	Weight
albyselkie	kylegriffin1		1	1
ale_oftheocean	eemanabbasi		1	1
aleccostanian	scottadamssays		1	1
aleft1	nycmayor		1	1
alejandra05	joyannreid		1	1
alejandrabalda	bestproadvice		1	1
aleksa_bhrist	rt_america		1	1
aleksanderrb	derekwillis		1	1
alevank_	mirandasings		1	1
alex17081961	youtube	1		1
alexalmeida76	newsofm		1	1
alexanderdiabl3	cnnpolitlcs		1	1
alexandraheuser	patriotmom61		3	3
alexandre_ishii	abcpolitics		1	1
alexischaillou	futalors		1	1
alexjiminian7	sensanders	1		1
alexmobro	foodandwine		1	1
alexoetker	mathieuvonrohr		1	1
alexou1304	sothommas		1	1
alexparas830	lachristygreen		1	1
alexxa_raeee	ericsshadow		1	1
alexyera	kylegriffin1		1	1
alfa_jaamiu	c0nvey	1		1
alfpeto	bpolitics		1	1
alfredolopezoca	davidbisbal	1		1
algoreham	georgetakei		1	1
alian_maria	riotta		1	1
alias_me	charles_gaba		1	1
aliced0n0van	jackposobiec		1	1
alicegeurts1	scaramucci		1	1
alicekorngold	opensociety	1		1
alicia3281	ed_miliband		1	1
alicia3281	nytopinion		1	1
alicia3281	viet46142	1		1
alicia_aabpena	theview		1	1
aliciacortez05	asiesmonterrey		1	1
alidaalida1208	dolartoday		1	1
alikhedery	frantownsend		1	1
alisonbuckley	nextgenclimate		1	1
alisonbuckley	ppppolls		1	1
alittlebitroyal	paul_lander		1	1
allankmelb	turdface68		1	1
allaunira	unormal	1		1
allbonesjones00	lindasuhler		1	1
allboutendz	dineshdsouza		1	1
alleahthebaddie	lexi4prez		1	1
allen_nanci	heifer109		1	1
allieadaschik11	drewisgooden		1	1
alliehammock	foxbusiness		1	1
alliemig	charles_gaba		1	1
alliemig	dannyzuker		1	1
alllwftopic	joyannreid		1	1
allthenachos	offbeatoliv		1	1
allwonky	dailykos		1	1
allygorder	chasemit		1	1
almosttohand	michaelgove	1		1
alnalalabbs	dragonforce_one		1	1
alokkumar950405	textporns		1	1
alondra_dude	aldenb_		1	1
alongsidewild	motherboard		1	1
alsomike	sjredmond		1	1
alternativejj96	globalgrind		1	1
altondrew	bizwriterkristi		1	1
alwayanamerican	christophsouza	1		1
always1uponyall	dailysabah		1	1
alwayshillary	adamparkhomenko		1	1
alwayshillary	hillarysmen		1	1
alykatalyssa	1perry1	1		1
alymdc14	lolgop		1	1
alyssamarie589	baratunde		1	1
alyssax3syou	beautygiris		1	1
amadathil05	buzzfeednews		1	1
amal_alghozali	businessinsider		1	1
amalia_campo	rubenfolgado		1	1
amandaraylaw	amy_siskind		1	1
amazingsop1	kylegriffin1		1	1
amazingsop1	redistrict		1	1
amazingsthought	textporns		1	1
amazlngadalton	billclintonthof		1	1
amb0306	hardball		1	1
amb0306	mediaite		1	1
amb0306	nycmayor		1	1
amb0306	theatlantic		1	1
amb0306	thenation		1	1
amb0306	timobrien		1	1
ambinc1	dineshdsouza		1	1
amcv90	drjillstein		1	1
amed12	ajplus		1	1
ameliashallcro2	allenwest		1	1
ameliashallcro2	foxandfriends		1	1
ameliashallcro2	immigrant4trump		2	2
ameliashallcro2	the_trump_train	1		1
ameliastanley4	magicroyalty		1	1
ameliastanley4	moveforwardhuge		1	1
ameliastanley4	trishintel		1	1
ameliebaldwin	bpolitics		1	1
amentilone	bill_rhodes54		1	1
amentilone	immigrant4trump		1	1
amentilone	roblaro		1	1
amerakinpatriot	shepnewsteam	1		1
america2_0	jimmy_dore	1		1
americanheart5	foxandfriends		1	1
amesters1	blakehounshell		1	1
amesters1	nationalmemo		1	1
amesters1	politico		1	1
amicus_solo	misslizzynj		1	1
amidgley	cloud_swatch		1	1
amitkumar86511	textporns		1	1
ammboston	funder		1	1
amoine	dailykos	2		2
amras888	kauilapele	1		1
amras888	ladatweets	1		1
amusedbythefuss	scwiggs	1		1
amxma_	blsexting		1	1
amygrey70	jackposobiec		1	1
amyhojnowski	sierraclub		1	1
amyjpoppy	brad_setser		1	1
amykhan666	climatereality		1	1
amylpeltekian	thetrumplady		1	1
amys_bus_ticket	anntelnaes		1	1
amyy_raappana	katiemcvay		1	1
anae851	ecoeurope		1	1
anamiii	debramessing		1	1
anaraffo	el_pais		1	1
anasfel1	eligerzon		1	1
anatomy_shoppe	wesh		1	1
anatomy_shoppe	wtkr3		1	1
anatsuno	newrepublic		1	1
anawalt60150865	stopohalso	1		1
andcowlicks	charles_gaba		1	1
andreainautumn	blsexualdizzee		1	1
andream51205605	cosmopolitan		1	1
andreamaurino	alfonsofuggetta	1		1
andrew_md2	youtubxrsftlau		1	1
andrewbcummings	vvstyranny		1	1
andrewjneumann	intlspectator		1	1
andrewkaiko	georgetakei		1	1
andrewrestuccia	ludacristiano		1	1
andreze	kylegriffin1		1	1
andromedatonksx	stonekettle		1	1
andybindermo	vivelafra		1	1
andycavster	lisabloom		1	1
andygarlicy	charlesmblow		1	1
andygr	jonathanchait		1	1
andyjameshicks	tariqnasheed		1	1
andymcgeady	derekwillis		1	1
anesam98	cosmopolitan		1	1
anesam98	ed_miliband		1	1
anesam98	georgetakei		1	1
anesam98	paulkrugman		1	1
anesam98	tonyschwartz		1	1
angela01n	katysmemes		1	1
angelagitador	velardedaoiz		1	1
angelamcknight9	heifer109		1	1
angeldot11	jasonmillerindc	1		1
angelgames110	youtube	1		1
angelicdeby	pink_lady56		1	1
angelkerjouan	niallftdream		1	1
angellkelley	beautygiris		1	1
angelmdunn1961	sherriquinn9		1	1
angelninja59	emilydparker		1	1
angieespnoza	monsterfandom		1	1
angieewart	70torinoman		1	1
angp44	latinaafortrump		1	1
anicho47	regsrock		1	1
anilnair_here	walshfreedom		1	1
animallover1049	doodlebug0		1	1
animalonly	lvnancy		1	1
aninatd	abtassociates		1	1
ankumari_rt	textporns		1	1
anna_elizabethw	beautygiris		1	1
annabelaxe970l1	philstockworld		1	1
annamoxie	realdonaldtrump	1		1
annashahan	timps15		1	1
annasophia_tops	jackposobiec		1	1
annecmulkern	lffriedman		1	1
annejowrites	stevewcarlson	1		1
annelly4	debramessing		1	1
annelly4	joyannreid		1	1
annelly4	millennials4her		1	1
annemarieflynn2	realdwneastdiva		1	1
annemarierosano	gottalaff		1	1
annemiekwolf83	bottejellema		1	1
annhunt50023005	mitchellvii		1	1
annknguyen	juddlegum		1	1
annmarieamerica	countermoonbat		1	1
annmorrison3	jackposobiec		1	1
annwin77	heifer109		1	1
anon_84	chasestrangio		1	1
anon_84	xrayspex7		1	1
anonopshub	freeflipfr		1	1
anonymousdoii	jackposobiec		1	1
another_davis	dannyzuker		1	1
another_davis	funder		1	1
ant0n_n0vak	zunderwhelmed		1	1
antfarmer	olivianuzzi		1	1
antheap	skipyorkenergy		1	1
anthony_susie_b	funder		1	1
anthonyabuhanna	crissytraps	1		1
anthonyc5797	complex		1	1
anthropobscene	juddlegum		1	1
antoniosuarez1	ejecentral		1	1
anxie_tea	melissaafrancis	1	1	2
anymore4me	joehockey	1		1
anyname4272	gatewaypundit	1		1
ap_doramaqueen	ed_miliband		1	1
aparbury	daniellemuscato		1	1
apaxpac	danscavino		1	1
apcharli	pauljonesii		1	1
apgsmom	parkermolloy	1		1
apls452	radction	1		1
apocalypticanow	fishbooom		2	2
appleguyios	cnnpolitics		1	1
appleguyios	thehill		1	1
appraiser119	2alaw		1	1
aprasolan	gestionpe		1	1
apruvel	futalors		1	1
aquabirdie	davidcorndc		1	1
arcadia34	abc		1	1
archangelmagicx	vivelafra		1	1
archiehope	juddlegum		1	1
arecibo_msg1974	tusk81		1	1
arefgranados	sinembargomx		1	1
argentinetea	benshapiro		1	1
arian0027	jackposobiec		1	1
ariee_l	globalgrind		1	1
aristocrates38	aristeguionline		1	1
ariwithattitude	such_a_frknlady		1	1
arixskyy	youtube	1		1
arkfilms_dp	wpjenna		1	1
arlette333	daniellemuscato		1	1
armchairdj	jesseberney		1	1
arnoldlawson47	berniesanders		1	1
arpna_rani	textporns		1	1
arreyesl	asiesmonterrey		1	1
arriadna	mediaite		1	1
arriadna	mrdane1982		1	1
arsenic101	reuters		1	1
arslanebiye	ayyildizz17		1	1
artaphernes	harryslaststand	1		1
artco77	pjstrikeforce		1	1
artfull01	repubassassin	1		1
arthauntsme	rightwingwatch		1	1
arthauntsme	tina49747372		1	1
arthurcschaper	lindasuhler		1	1
arthurxtr	_gabrielamatos	1		1
artmanjanet	jackposobiec		2	2
artmanjanet	prisonplanet		1	1
arttheclown1	zerohedge	1		1
arturovillalba7	mzavalagc	1		1
asamiiiya	leonardgreene		1	1
asboxingmma	the_trump_train		1	1
aseelaltaiy	islamzebari		3	3
asgolftour	carefreeyoga	1		1
ashbaxnyc	nycmayor		1	1
ashcech	steveweinstein		1	1
ashleyboskooo	beautygiris		1	1
ashleylacy03	bust_magazine		1	1
ashleypaulette	brasilmagic		1	1
askmjj	girlsreallyrule		1	1
askmjj	joyannreid		1	1
askmjj	lawyerrogelio		1	1
askmjj	teapainusa		3	3
asproella	trumpology		1	1
assurnarsipal	aacconf	1		1
astroalum79	danscavino		1	1
astroptere	plasmarmuse	1		1
astylezbeats	lrihendry		1	1
ataxdraws	youtube	1		1
ateacher97	amy_siskind		1	1
ateacher97	angela_rye		1	1
ateacher97	captainslog2016	1	1	2
ateacher97	golferdre72		1	1
ateacher97	politicususa		1	1
ateacher97	teapainusa		1	1
atkogs	daniellemuscato		1	1
atoggs	steve0423		1	1
atriverside	observer		1	1
atwiss99	charles_gaba		1	1
auberhirsch	jackposobiec		1	1
auberhirsch	realalexjones		1	1
auberhirsch	the_trump_train		1	1
auburnparks	matthewstoller		1	1
audieklotz	irinnews		1	1
augustatowers	realdonaldtrump	1		1
auhme82	annamariadp		1	1
auntbee456	c0nvey	1		1
auntieness15	mattyglesias		1	1
auntlulie	eileendefreest		1	1
auntsophie1	beachpeanuts		1	1
aurumvindicat	hokiedokiemike		1	1
auslandish	jackposobiec		1	1
austonhab	robferdman		1	1
authorjackbloom	jonathanchait		1	1
authormreynolds	honey17011		1	1
authormreynolds	mattmfm		1	1
authormreynolds	newsweek		1	1
avaharlow	frantownsend		1	1
avery_kolers	ariberman		1	1
avesquigs	jackposobiec		1	1
aviator300	foxbusiness		1	1
avigdordayan	drmartyfox		1	1
avivajazz	polina_marinova		1	1
awheatleylds	noltenc		1	1
aworldoutofmind	drew_hammill		1	1
ayyildizz17	ayyildizz17		1	1
az49ersfan	mitchellvii		1	1
azingra76	govmikehuckabee		1	1
azingra76	realalexjones		1	1
azzy_didi	1080skibunny		1	1
azzy_didi	christichat		1	1
b1ll_iam	prisonplanet		1	1
b24_baby	foxnation		1	1
b_ramirez29	asiesmonterrey		1	1
babb_tammy	votetrumppics		1	1
baberglund	nycmayor		1	1
babmars	anymoro_774		1	1
babshoguen	thehill		1	1
babyboom4trump	danscavino		1	1
