WDS	LDS	WMS	LMS	WGS	LGS	WAS	LAS	Area	Morphotypes
1.80	1.17	0.375	0.45	0.77	0.59	0.28	0.14	6	1
1.71	1.22	0.33	0.45	0.72	0.57	0.26	0.16	6	1
1.78	1.20	0.38	0.45	0.73	0.55	0.275	0.16	6	1
1.79	1.15	0.365	0.44	0.74	0.56	0.275	0.17	6	1
1.73	1.15	0.35	0.44	0.72	0.56	0.27	0.16	6	1
1.71	1.07	0.29	0.39	0.71	0.56	0.25	0.135	6	1
1.63	1.12	0.35	0.42	0.69	0.53	0.26	0.16	6	1
1.80	1.22	0.37	0.46	0.74	0.56	0.27	0.15	6	1
1.68	1.15	0.36	0.43	0.7	0.54	0.25	0.15	6	1
1.73	1.24	0.36	0.46	0.74	0.53	0.26	0.17	6	1
1.76	1.20	0.36	0.48	0.73	0.53	0.26	0.165	6	1
1.72	1.15	0.36	0.43	0.7	0.54	0.26	0.15	6	1
1.76	1.22	0.37	0.45	0.72	0.55	0.27	0.16	6	1
1.77	1.21	0.38	0.45	0.73	0.56	0.27	0.15	6	1
1.78	1.17	0.38	0.46	0.72	0.55	0.25	0.15	6	1
1.71	1.12	0.35	0.44	0.66	0.55	0.25	0.15	7	1
1.78	1.22	0.37	0.45	0.73	0.65	0.27	0.14	7	1
1.80	1.20	0.38	0.47	0.73	0.57	0.28	0.15	7	1
1.73	1.15	0.35	0.43	0.71	0.56	0.25	0.12	7	1
1.78	1.20	0.35	0.44	0.73	0.56	0.25	0.13	7	1
1.71	1.20	0.35	0.43	0.7	0.56	0.3	0.16	7	1
1.78	1.17	0.36	0.45	0.76	0.56	0.28	0.135	7	1
1.76	1.17	0.35	0.44	0.72	0.53	0.26	0.145	7	1
1.76	1.22	0.37	0.45	0.69	0.55	0.25	0.16	7	1
1.80	1.20	0.37	0.46	0.76	0.57	0.25	0.165	7	1
1.83	1.18	0.39	0.44	0.73	0.55	0.28	0.16	7	1
1.80	1.17	0.37	0.47	0.76	0.56	0.27	0.12	7	1
1.63	1.07	0.34	0.42	0.67	0.55	0.25	0.11	7	1
1.78	1.22	0.39	0.48	0.76	0.52	0.27	0.17	7	1
1.68	1.10	0.34	0.45	0.7	0.54	0.27	0.11	7	1
1.80	1.20	0.38	0.44	0.72	0.55	0.24	0.15	7	1
1.83	1.17	0.37	0.48	0.74	0.54	0.26	0.135	7	1
1.76	1.22	0.36	0.46	0.73	0.52	0.28	0.14	7	1
1.80	1.17	0.35	0.44	0.74	0.53	0.27	0.14	7	1
1.73	1.20	0.36	0.45	0.71	0.54	0.27	0.17	7	1
1.71	1.15	0.38	0.45	0.75	0.55	0.25	0.12	7	1
1.71	1.39	0.35	0.43	0.7	0.56	0.25	0.15	7	1
1.71	1.15	0.35	0.45	0.72	0.55	0.26	0.12	7	1
1.71	1.17	0.33	0.45	0.72	0.54	0.27	0.15	7	1
1.71	1.15	0.33	0.4	0.73	0.58	0.25	0.13	7	1
1.83	1.22	0.37	0.44	0.73	0.6	0.26	0.14	8	1
1.68	1.12	0.35	0.45	0.73	0.56	0.24	0.14	8	1
1.80	1.17	0.36	0.46	0.77	0.6	0.27	0.15	8	1
1.84	1.20	0.365	0.5	0.79	0.6	0.29	0.15	8	1
1.71	1.15	0.35	0.45	0.715	0.575	0.25	0.15	8	1
1.76	1.20	0.35	0.5	0.75	0.55	0.26	0.17	8	1
1.78	1.22	0.36	0.47	0.72	0.56	0.26	0.16	8	1
1.80	1.20	0.37	0.47	0.77	0.6	0.27	0.16	8	1
1.78	1.22	0.37	0.45	0.76	0.58	0.28	0.16	8	1
1.73	1.20	0.35	0.46	0.73	0.6	0.26	0.16	8	1
1.71	1.20	0.37	0.45	0.72	0.56	0.26	0.15	8	1
1.68	1.15	0.33	0.43	0.71	0.6	0.25	0.16	8	1
1.76	1.05	0.35	0.43	0.73	0.59	0.25	0.14	8	1
1.78	1.20	0.36	0.47	0.75	0.59	0.26	0.15	8	1
1.78	1.17	0.36	0.47	0.74	0.58	0.26	0.15	8	1
1.71	1.20	0.34	0.47	0.7	0.57	0.25	0.16	8	1
1.76	1.17	0.36	0.46	0.73	0.53	0.27	0.15	8	1
1.71	1.15	0.33	0.43	0.71	0.55	0.26	0.15	8	1
1.80	1.15	0.37	0.47	0.77	0.6	0.23	0.15	8	1
1.66	1.15	0.34	0.42	0.7	0.53	0.25	0.13	8	1
1.78	1.20	0.36	0.46	0.74	0.55	0.26	0.16	8	1
1.80	1.20	0.36	0.45	0.76	0.6	0.26	0.15	8	1
1.78	1.20	0.4	0.45	0.75	0.59	0.25	0.12	8	1
1.71	1.12	0.35	0.44	0.71	0.58	0.26	0.13	8	1
1.71	1.10	0.35	0.44	0.74	0.56	0.28	0.14	8	1
1.78	1.17	0.36	0.46	0.76	0.59	0.27	0.16	8	1
1.83	1.17	0.37	0.5	0.77	0.61	0.28	0.14	8	1
1.83	1.24	0.4	0.5	0.75	0.61	0.28	0.14	8	1
1.59	1.17	0.32	0.45	0.68	0.58	0.24	0.15	8	1
1.73	1.17	0.35	0.44	0.71	0.55	0.25	0.13	9	1
1.73	1.17	0.36	0.44	0.72	0.56	0.25	0.15	9	1
