Month	CTL 	CW 	PLdx 	PWdx 	PLsx 	PWsx	Weight	Sex	Maturity
May_04	57.4	25.1	15.2	5.6	NA	NA	NA	f	3
May_04	45.5	19.3	26.6	10.1	18.1	4.8	20.0	f	2
May_04	26.1	10.7	11.3	3.7	9.2	2.8	3.5	f	1
May_04	25.5	11.0	10.0	2.1	10.6	3.0	3.0	f	1
May_04	25.3	10.4	11.8	3.4	11.9	3.4	3.0	f	1
May_04	52.4	22.2	29.2	12.4	NA	NA	NA	f	3
May_04	56.6	24.8	37.6	14.8	38.6	14.6	40.0	f	3
May_04	55.7	24.1	41.0	15.9	NA	NA	NA	f	3
May_04	48.5	21.7	32.1	11.8	33.2	11.9	26.5	f	3
May_04	46.4	21.0	39.9	19.7	39.7	19.1	25.0	m	1
May_04	48.5	21.6	36.1	12.1	34.0	11.8	26.0	f	3
May_04	30.0	12.2	13.0	4.1	12.9	4.0	5.0	f	1
May_04	30.5	12.7	14.0	4.5	13.8	4.5	5.5	m	2
May_04	24.5	9.7	NA	NA	10.7	2.9	NA	f	1
May_04	51.5	22.1	34.7	11.8	34.7	11.7	28.0	f	3
May_04	37.8	16.0	20.5	7.2	20.2	6.9	10.5	m	2
May_04	25.2	10.2	11.6	3.1	11.8	3.1	3.0	m	2
May_04	39.5	16.9	21.3	6.6	15.1	4.4	12.0	f	2
May_04	42.6	18.3	26.7	9.8	25.5	9.8	17.5	f	2
May_04	39.9	17.1	29.2	9.3	28.7	9.5	14.5	m	2
May_04	38.9	16.5	21.8	5.1	19.5	5.5	11.0	m	2
May_04	38.0	16.3	NA	NA	20.6	6.2	NA	f	1
May_04	30.1	12.1	15.3	3.9	14.3	3.1	4.5	m	2
May_04	37.5	15.1	22.0	7.3	21.3	7.4	11.0	f	1
May_04	35.2	15.3	20.0	6.3	18.2	6.5	9.0	f	1
May_04	37.6	16.3	23.0	7.4	24.0	7.4	11.0	f	1
May_04	30.1	12.0	14.8	4.0	13.2	3.8	5.0	f	1
May_04	45.0	19.5	27.5	9.3	27.8	10.1	20.5	f	2
May_04	26.9	11.0	11.6	3.3	11.6	3.4	4.0	f	1
May_04	23.8	9.5	12.2	3.2	12.2	3.3	3.0	m	2
May_04	45.2	19.0	NA	NA	39.1	14.7	NA	m	2
May_04	35.5	14.8	19.9	5.8	17.1	4.8	9.0	f	1
May_04	34.4	14.7	17.9	6.4	18.5	6.6	9.0	f	1
