S_plot	GVC	HLC	SLC	NLC	LC	FWDC	CWDC	LLC	MLD	OM	X	Y	Hlog10
16	0.24	0.00	0.00	0.83	0.00	0.06	0.06	0.00	0.10	0.93	114452	73323	1.04
16	0.00	0.00	0.00	0.88	0.00	0.27	0.2	0.00	0.10	0.93	114488	73235	1.01
16	0.31	0.10	0.00	0.73	0.00	0.08	0.22	0.00	0.25	0.91	114534	73223	0.84
16	0.06	0.00	0.00	0.88	0.00	0.25	0.4	0.00	0.40	0.95	114631	73233	0.91
17	0.00	0.00	0.88	0.83	0.00	0.02	0.01	0.00	0.30	0.12	229181	195975	0.96
17	0.27	0.01	0.88	0.68	0.00	0.01	0.01	0.00	0.25	0.14	229224	196030	0.92
17	0.03	0.00	0.88	0.88	0.00	0.01	0.02	0.00	0.20	0.08	229278	196069	0.8
17	0.38	0.01	0.88	0.68	0.00	0.01	0.01	0.00	0.20	0.09	229347	196140	0.95
17	0.24	0.00	0.88	0.58	0.00	0.01	0	0.00	0.20	0.23	229285	196231	1.04
17	0.12	0.39	0.16	0.00	0.48	0.07	0.01	0.48	0.05	0.09	229268	195935	0.99
17	0.39	0.39	0.23	0.00	0.02	0.02	0.05	0.02	0.05	0.06	229322	195945	0.83
18	0.54	0.27	0.88	0.34	0.39	0.03	0.03	0.39	0.20	0.10	155090	199606	0.95
18	0.21	0.33	0.88	0.78	0.01	0.00	0	0.01	0.05	0.11	155123	199531	0.96
18	0.88	0.11	0.88	0.36	0.03	0.00	0	0.03	0.00	0.21	155190	199538	1.16
18	0.51	0.30	0.88	0.44	0.00	0.01	0	0.00	0.03	0.66	155226	199489	1.15
18	0.54	0.41	0.88	0.22	0.03	0.00	0	0.03	0.03	0.69	155164	199454	1.13
19	0.06	0.09	0.88	0.78	0.00	0.00	0	0.00	0.10	0.19	178820	155656	1.13
19	0.03	0.01	0.88	0.78	0.38	0.00	0	0.38	0.05	0.31	178878	155615	1.09
19	0.54	0.36	0.78	0.37	0.03	0.00	0	0.03	0.08	0.16	178925	155590	1.2
19	0.02	0.00	0.88	0.83	0.00	0.01	0	0.00	0.08	0.09	178867	155680	1.02
19	0.31	0.35	0.83	0.39	0.03	0.01	0	0.03	0.08	0.32	178941	155676	1.21
20	0.63	0.39	0.16	0.34	0.07	0.20	0.06	0.07	0.30	0.23	296726	174222	0.97
20	0.56	0.49	0.00	0.37	0.03	0.20	0.2	0.03	0.10	0.13	296635	174185	1.21
20	0.73	0.23	0.00	0.27	0.63	0.12	0.07	0.63	0.05	0.24	296501	174162	0.98
20	0.78	0.13	0.00	0.25	0.12	0.15	0.05	0.12	0.08	0.52	296512	174092	0.95
20	0.52	0.54	0.00	0.10	0.34	0.22	0.18	0.34	0.10	0.76	296458	174036	0.99
21	0.38	0.23	0.88	0.00	0.00	0.00	0	0.00	0.00	0.11	197796	92606	0.93
21	0.38	0.58	0.57	0.00	0.00	0.00	0	0.00	0.00	0.15	197834	92567	0.87
21	0.00	0.54	0.54	0.00	0.00	0.00	0	0.00	0.00	0.10	197906	92563	0.98
21	0.00	0.18	0.88	0.00	0.00	0.00	0	0.00	0.00	0.10	197973	92574	1.04
21	0.00	0.39	0.59	0.00	0.00	0.00	0	0.00	0.00	0.12	197954	92644	1.06
21	0.27	0.39	0.37	0.00	0.00	0.00	0	0.00	0.00	0.12	197933	92710	1.1
21	0.01	0.42	0.45	0.00	0.00	0.00	0	0.00	0.00	0.14	197892	92749	1.04
22	0.11	0.68	0.12	0.00	0.00	0.00	0	0.00	0.00	0.17	176178	222791	1.02
22	0.07	0.64	0.15	0.00	0.00	0.00	0	0.00	0.00	0.11	176154	222754	1.05
22	0.01	0.73	0.34	0.00	0.00	0.00	0	0.00	0.00	0.38	176092	222810	1.14
22	0.05	0.58	0.32	0.00	0.00	0.00	0	0.00	0.00	0.85	176032	222822	1.02
22	0.03	0.68	0.39	0.00	0.00	0.00	0	0.00	0.00	0.50	175981	222836	1.14
22	0.04	0.69	0.27	0.00	0.00	0.00	0	0.00	0.00	0.80	175924	222840	1.2
22	0.02	0.78	0.11	0.00	0.00	0.00	0	0.00	0.00	0.44	175865	222851	1.12
23	0.19	0.00	0.88	0.83	0.01	0.07	0.03	0.01	0.05	0.08	226028	193863	0.92
23	0.16	0.00	0.88	0.78	0.00	0.00	0	0.00	0.15	0.12	225963	193847	0.86
23	0.10	0.00	0.88	0.73	0.00	0.05	0.05	0.00	0.15	0.08	225957	193793	0.89
23	0.29	0.00	0.88	0.63	0.00	0.08	0.01	0.00	0.13	0.24	NA	NA	0.87
23	0.03	0.00	0.88	0.88	0.00	0.03	0.05	0.00	0.10	0.16	226087	193695	0.88
24	0.19	0.00	0.03	0.32	0.33	0.05	0.05	0.33	0.75	0.93	229543	195797	1.05
24	0.24	0.00	0.03	0.63	0.03	0.10	0.07	0.03	0.30	0.58	229625	195701	0.85
24	0.15	0.63	0.03	0.35	0.01	0.41	0.4	0.01	0.10	0.17	229659	195632	0.77
24	0.06	0.00	0.03	0.68	0.06	0.15	0.12	0.06	0.95	0.23	229676	195575	0.86
24	0.22	0.03	0.03	0.58	0.00	0.08	0.12	0.00	0.35	0.91	229533	195646	1
25	0.83	0.03	0.00	0.15	0.00	0.06	0.12	0.00	0.05	0.92	227820	199556	0.93
25	0.63	0.16	0.00	0.15	0.38	0.10	0.25	0.38	0.05	0.80	227888	199655	0.84
25	0.88	0.03	0.00	0.06	0.00	0.01	0.09	0.00	0.05	0.72	227964	199703	0.99
25	0.73	0.00	0.00	0.03	0.00	0.02	0.35	0.00	0.05	0.50	228030	199739	0.96
25	0.73	0.03	0.00	0.09	0.00	0.07	0.12	0.00	0.05	0.37	228126	199740	0.93
26	0.05	0.58	0.20	0.00	0.00	0.00	0	0.00	0.00	0.42	189112	155411	1.2
26	0.03	0.30	0.64	0.00	0.00	0.00	0	0.00	0.00	0.20	189095	155362	1.21
26	0.03	0.68	0.25	0.00	0.00	0.00	0	0.00	0.00	0.25	189060	155363	1.05
26	0.01	0.54	0.40	0.00	0.00	0.00	0	0.00	0.00	0.45	189044	155298	0.91
26	0.19	0.58	0.12	0.00	0.00	0.00	0	0.00	0.00	0.17	188982	155306	0.93
27	0.58	0.37	0.63	0.01	0.43	0.11	0.23	0.43	0.05	0.16	NA	NA	0.78
27	0.39	0.32	0.63	0.01	0.41	0.15	0.11	0.41	0.03	0.14	163723	334947	0.82
27	0.48	0.73	0.00	0.01	0.06	0.03	0.03	0.06	0.03	0.16	163754	334911	0.86
