Site	Latitude	Longitude	Ecosystem	Temp	Flux
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.700608529	1.674139418
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.455166137	2.053325642
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.265465683	2.390783586
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.628314281	3.070469706
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.656446787	3.950445627
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.730163177	3.518296279
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.775680029	3.389830819
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.932883892	3.610951076
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	2.033757522	3.402960111
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.98307329	3.735221815
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.597833693	3.258185627
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.981440124	3.361978257
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.802076086	2.809993814
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.931372393	3.147655269
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.902126549	3.412885119
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	2.130360866	2.362954462
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	2.001530914	2.516898381
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.968244041	2.01615411
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.772631992	1.443402267
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.60821275	1.012200444
EARTH	10.13	-83.34	Wetland	1.317681896	1.873085909
EARTH	10.13	-83.34	Wetland	1.084033014	1.170960198
EARTH	10.13	-83.34	Wetland	1.240414667	-0.82805643
EARTH	10.13	-83.34	Wetland	1.182229461	2.477445734
EARTH	10.13	-83.34	Wetland	1.219252758	0.758290847
EARTH	10.13	-83.34	Wetland	1.115462364	1.610265503
GA	62.979721	15.535355	Aquatic	0.085920591	-0.118834622
GA	62.979721	15.535355	Aquatic	0.210111574	1.461584749
GA	62.979721	15.535355	Aquatic	0.278774516	-0.310940637
GA	62.979721	15.535355	Aquatic	0.3198591	-0.039283464
GA	62.979721	15.535355	Aquatic	0.42900527	0.401089738
GA	62.979721	15.535355	Aquatic	0.456198429	0.254426852
GA	62.979721	15.535355	Aquatic	0.739495155	0.539462579
GA	62.979721	15.535355	Aquatic	1.176597851	0.961857776
IlomantsiFen1991	60.4	30.5	Wetland	-1.155635415	-1.386670663
IlomantsiFen1991	60.4	30.5	Wetland	-0.669713324	-0.441085323
IlomantsiFen1991	60.4	30.5	Wetland	-0.068315833	-0.506646533
IlomantsiFen1991	60.4	30.5	Wetland	-0.068315833	-0.133641504
IlomantsiFen1991	60.4	30.5	Wetland	-0.314613579	0.464243404
IlomantsiFen1991	60.4	30.5	Wetland	-1.384207482	-1.145194509
IlomantsiFen1991	60.4	30.5	Wetland	-2.204597697	-1.926871233
IlomantsiFen1992	60.4	30.5	Wetland	-1.585260172	-0.017107013
IlomantsiFen1992	60.4	30.5	Wetland	-0.785566655	1.59752135
IlomantsiFen1992	60.4	30.5	Wetland	-0.151481918	-0.57654892
IlomantsiFen1992	60.4	30.5	Wetland	-0.398518688	-0.547180568
IlomantsiFen1992	60.4	30.5	Wetland	-0.513263655	-1.614981221
JankalaisenlampiPond	67.1	27.4	Aquatic	-1.362648246	2.021402807
JankalaisenlampiPond	67.1	27.4	Aquatic	0.168800199	-0.323146485
JankalaisenlampiPond	67.1	27.4	Aquatic	-0.44706752	-1.170444345
